word_a,word_b,tone_a,tone_b,meaning_a,meaning_b,gold_ipa_a,gold_ipa_b,source,source_id,source_split,status,notes
word1,word2,H,L,placeholder_meaning_a1,placeholder_meaning_b1,wórd,wòrd,waxal,waxal-seed-001,construction,seed,placeholder row until real verified pairs are ingested
word2,word3,H,L,placeholder_meaning_a2,placeholder_meaning_b2,wórd,wòrd,waxal,waxal-seed-002,evaluation,seed,placeholder row until real verified pairs are ingested
word1,word3,H,L,placeholder_meaning_a3,placeholder_meaning_b3,wórd,wòrd,waxal,waxal-seed-003,evaluation,seed,placeholder row until real verified pairs are ingested
agícoka,agĩcoka,,,,,,,waxal,waxal:agicoka:agícoka:agĩcoka,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
ciìna,ciína,,,,,,,waxal,waxal:ciina:ciìna:ciína,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
ciìna,ciîna,,,,,,,waxal,waxal:ciina:ciìna:ciîna,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatagatì,gatagatí,,,,,,,waxal,waxal:gatagati:gatagatì:gatagatí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatagatì,gatagatî,,,,,,,waxal,waxal:gatagati:gatagatì:gatagatî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatagatí,gatagatî,,,,,,,waxal,waxal:gatagati:gatagatí:gatagatî,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatagatí,gatagatĩ,,,,,,,waxal,waxal:gatagati:gatagatí:gatagatĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatagatî,gatagatĩ,,,,,,,waxal,waxal:gatagati:gatagatî:gatagatĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatatù,gatatú,,,,,,,waxal,waxal:gatatu:gatatù:gatatú,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatatù,gatatû,,,,,,,waxal,waxal:gatatu:gatatù:gatatû,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatatù,gatatū,,,,,,,waxal,waxal:gatatu:gatatù:gatatū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatatú,gatatû,,,,,,,waxal,waxal:gatatu:gatatú:gatatû,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatatú,gatatū,,,,,,,waxal,waxal:gatatu:gatatú:gatatū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gatatû,gatatū,,,,,,,waxal,waxal:gatatu:gatatû:gatatū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gathandùkù,gathandūkū,,,,,,,waxal,waxal:gathanduku:gathandùkù:gathandūkū,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gathiùrùri,gathiúrúrí,,,,,,,waxal,waxal:gathiururi:gathiùrùri:gathiúrúrí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gathiúrúri,gathiúrúrí,,,,,,,waxal,waxal:gathiururi:gathiúrúri:gathiúrúrí,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gathiúrúri,gathiũrũrĩ,,,,,,,waxal,waxal:gathiururi:gathiúrúri:gathiũrũrĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gathiúrúrí,gathiũrũrĩ,,,,,,,waxal,waxal:gathiururi:gathiúrúrí:gathiũrũrĩ,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gìa,gía,,,,,,,waxal,waxal:gia:gìa:gía,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gìa,gîa,,,,,,,waxal,waxal:gia:gìa:gîa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gía,gîa,,,,,,,waxal,waxal:gia:gía:gîa,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gìake,gíake,,,,,,,waxal,waxal:giake:gìake:gíake,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
gìake,gîake,,,,,,,waxal,waxal:giake:gìake:gîake,construction,candidate,imported from waxal pair candidates; analyst tone+IPA annotation required
